ID_ESTACION|CAMPAÑA|precip_cum_01|precip_cum_02|precip_cum_03|precip_cum_04|precip_cum_05|precip_cum_06|snow_cum_01|snow_cum_02|snow_cum_03|snow_cum_04|snow_cum_05|snow_cum_06|temperature_max_mean_01|temperature_max_mean_02|temperature_max_mean_03|temperature_max_mean_04|temperature_max_mean_05|temperature_max_mean_06|uvIndex_max_01|uvIndex_max_02|uvIndex_max_03|uvIndex_max_04|uvIndex_max_05|uvIndex_max_06
0|16|15.5|12.2|29.9|136.9|35.1|3.6|0.0|0.0|0.0|0.0|0.0|0.0|15.438709677419356|15.258620689655173|16.416129032258063|19.043333333333333|23.219354838709677|29.476666666666667|3.0|4.0|6.0|8.0|9.0|9.0
0|17|192.4|13.200000000000001|170.29999999999998|57.5|2.2|21.1|12.4|0.0|0.0|0.0|0.0|0.0|11.093548387096773|13.975|18.01290322580645|19.386666666666667|24.325806451612905|29.946666666666665|3.0|4.0|6.0|8.0|9.0|9.0
0|18|115.9|118.2|40.7|19.1|23.900000000000002|97.0|0.0|4.4|0.0|0.0|0.0|0.0|13.94516129032258|11.267857142857142|15.087096774193547|18.033333333333335|22.187096774193545|27.383333333333333|3.0|4.0|6.0|8.0|9.0|9.0
0|19|6.4|2.3|52.5|169.0|18.9|0.0|0.0|0.0|0.0|0.0|0.0|0.0|13.212903225806452|15.589285714285714|17.661290322580644|17.003333333333334|22.648387096774194|27.85666666666667|3.0|4.0|6.0|8.0|9.0|9.0
0|20|134.5|1.9|95.2|60.3|40.1|31.900000000000002|5.2|0.0|0.0|0.0|0.0|0.0|12.880645161290323|18.32758620689655|15.254838709677419|17.6|24.664516129032258|27.94333333333333|3.0|4.0|6.0|8.0|9.0|9.0
0|21|54.8|1.1|31.599999999999998|90.10000000000001|53.800000000000004|21.7|4.8|0.0|0.0|0.0|0.0|0.0|12.419354838709678|15.596428571428572|15.248387096774193|16.813333333333333|23.519354838709678|27.356666666666666|3.0|4.0|6.0|8.0|9.0|9.0
0|22|0.6|10.4|256.8|154.6|54.300000000000004|10.6|0.0|0.0|0.0|0.0|0.0|0.0|13.351612903225806|16.05|12.670967741935485|16.546666666666667|25.20967741935484|31.7|3.0|4.0|6.0|8.0|9.0|9.0
1|16|12.1|32.2|29.0|75.0|64.0|12.600000000000001|0.0|1.5|0.0|0.0|0.0|0.0|13.30967741935484|13.082758620689654|14.406451612903227|17.87|21.887096774193548|29.096666666666668|3.0|4.0|6.0|8.0|9.0|9.0
1|17|93.1|13.6|123.2|64.0|9.4|11.0|23.400000000000002|0.0|0.0|0.0|0.0|0.0|9.125806451612902|12.674999999999999|16.69677419354839|18.92|24.451612903225808|30.673333333333336|3.0|4.0|6.0|8.0|9.0|9.0
1|18|66.9|82.30000000000001|64.4|53.2|123.9|89.0|0.0|8.600000000000001|0.0|0.0|0.0|0.0|11.470967741935485|9.682142857142859|12.787096774193548|17.15|21.05483870967742|26.77|3.0|4.0|6.0|8.0|9.0|9.0
1|19|2.5|8.5|34.1|202.6|7.8999999999999995|0.8|0.0|0.0|0.0|0.0|0.0|0.0|11.006451612903225|14.325000000000001|16.69677419354839|15.636666666666667|22.861290322580647|28.266666666666666|3.0|4.0|6.0|8.0|9.0|9.0
1|20|70.5|0.8|128.9|76.0|51.3|15.3|15.0|0.0|0.0|0.0|0.0|0.0|11.364516129032259|16.344827586206897|14.029032258064515|17.07|23.996774193548386|28.246666666666666|3.0|4.0|6.0|8.0|9.0|9.0
1|21|55.5|3.2|28.799999999999997|92.3|39.7|30.999999999999996|20.5|0.0|0.0|0.0|0.0|0.0|8.838709677419354|13.932142857142859|13.951612903225806|15.553333333333335|22.190322580645162|26.433333333333334|3.0|4.0|6.0|8.0|9.0|9.0
1|22|0.1|9.2|138.5|118.3|44.7|5.7|0.0|0.0|0.0|2.7|0.0|0.0|11.73225806451613|14.62142857142857|11.116129032258065|15.01|24.94516129032258|31.490000000000002|3.0|4.0|6.0|8.0|9.0|9.0
2|16|14.3|10.5|36.9|91.89999999999999|25.6|8.299999999999999|0.0|0.0|0.0|0.0|0.0|0.0|15.63225806451613|15.841379310344827|17.14516129032258|20.34333333333333|23.835483870967742|30.686666666666667|3.0|4.0|6.0|8.0|9.0|9.0
